<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026-03-09	06:45:00	5090.45	5091.44	5085.4	5090.29	3425	0	4
2026-03-09	07:00:00	5090.29	5102.14	5080.94	5096.64	5604	0	4
2026-03-09	07:15:00	5096.53	5104.16	5087.43	5095.48	7656	0	4
2026-03-09	07:30:00	5095.48	5121.36	5092.0	5120.85	9889	0	4
2026-03-09	07:45:00	5120.85	5140.61	5119.54	5124.35	11086	0	4
2026-03-09	08:00:00	5124.35	5134.13	5119.16	5127.79	10189	0	4
2026-03-09	08:15:00	5127.79	5131.35	5123.25	5126.48	7155	0	4
2026-03-09	08:30:00	5126.48	5129.81	5104.87	5107.01	8255	0	4
2026-03-09	08:45:00	5107.02	5111.41	5097.09	5097.71	7113	0	4
2026-03-09	09:00:00	5097.71	5102.13	5088.63	5096.96	7307	0	4
2026-03-09	09:15:00	5096.96	5107.03	5095.32	5106.71	5465	0	4
2026-03-09	09:30:00	5106.71	5107.92	5099.88	5101.16	5229	0	4
2026-03-09	09:45:00	5101.15	5101.52	5093.67	5099.12	4891	0	4
2026-03-09	10:00:00	5099.11	5110.88	5098.93	5099.96	7811	0	4
2026-03-09	10:15:00	5099.96	5106.58	5090.83	5091.66	6453	0	4
2026-03-09	10:30:00	5091.66	5096.83	5087.1	5090.16	5966	0	4
2026-03-09	10:45:00	5090.16	5102.6	5087.25	5096.62	5952	0	4
2026-03-09	11:00:00	5096.56	5116.83	5095.15	5112.78	6605	0	4
2026-03-09	11:15:00	5112.78	5127.0	5112.34	5125.32	7093	0	4
2026-03-09	11:30:00	5125.35	5132.61	5102.85	5102.86	9714	0	4
2026-03-09	11:45:00	5102.86	5107.57	5096.54	5105.3	6779	0	4
2026-03-09	12:00:00	5105.3	5111.13	5102.85	5109.22	5585	0	4
2026-03-09	12:15:00	5109.22	5110.44	5098.28	5099.75	4511	0	4
2026-03-09	12:30:00	5099.75	5100.22	5089.02	5095.83	6784	0	4
2026-03-09	12:45:00	5095.83	5096.66	5084.26	5087.23	5920	0	4
2026-03-09	13:00:00	5087.23	5097.38	5087.23	5090.46	5751	0	4
2026-03-09	13:15:00	5090.46	5092.48	5079.84	5085.85	5737	0	4
2026-03-09	13:30:00	5085.85	5093.16	5082.15	5085.83	5278	0	4
2026-03-09	13:45:00	5085.83	5094.64	5084.11	5088.07	4843	0	4
2026-03-09	14:00:00	5088.07	5099.82	5088.07	5096.4	5610	0	4
2026-03-09	14:15:00	5096.4	5110.06	5094.52	5109.4	5437	0	4
2026-03-09	14:30:00	5109.4	5112.14	5103.86	5106.95	5491	0	4
2026-03-09	14:45:00	5106.97	5107.09	5093.41	5094.92	5741	0	4
2026-03-09	15:00:00	5094.92	5099.32	5088.12	5092.61	8325	0	4
2026-03-09	15:15:00	5092.61	5098.37	5084.6	5094.8	7984	0	4
2026-03-09	15:30:00	5094.8	5111.31	5074.35	5076.09	13323	0	4
2026-03-09	15:45:00	5076.09	5084.69	5067.36	5074.14	13431	0	4
2026-03-09	16:00:00	5074.14	5088.44	5061.04	5071.4	13617	0	4
2026-03-09	16:15:00	5071.4	5084.35	5064.82	5081.76	12653	0	4
2026-03-09	16:30:00	5081.7	5114.77	5080.14	5112.49	11580	0	4
2026-03-09	16:45:00	5112.49	5116.12	5086.02	5093.97	10340	0	4
2026-03-09	17:00:00	5093.97	5094.68	5079.66	5091.61	9859	0	4
2026-03-09	17:15:00	5091.62	5100.33	5082.02	5099.64	7926	0	4
2026-03-09	17:30:00	5099.64	5102.59	5093.06	5094.97	7383	0	4
2026-03-09	17:45:00	5094.97	5103.47	5094.18	5099.64	6975	0	4
2026-03-09	18:00:00	5099.74	5109.48	5096.93	5103.45	7018	0	4
2026-03-09	18:15:00	5103.45	5105.36	5094.69	5103.82	6696	0	4
2026-03-09	18:30:00	5103.97	5110.73	5102.79	5107.27	5375	0	4
2026-03-09	18:45:00	5107.27	5108.76	5103.05	5104.68	5397	0	4
2026-03-09	19:00:00	5104.68	5106.92	5098.29	5099.8	5331	0	4
2026-03-09	19:15:00	5099.8	5102.31	5091.08	5095.04	6239	0	4
2026-03-09	19:30:00	5095.05	5097.97	5089.13	5090.84	5854	0	4
2026-03-09	19:45:00	5090.84	5099.56	5090.78	5096.03	5077	0	4
2026-03-09	20:00:00	5096.03	5098.12	5092.53	5097.6	4449	0	4
2026-03-09	20:15:00	5097.6	5107.07	5096.7	5105.15	4962	0	4
2026-03-09	20:30:00	5105.1	5120.31	5104.25	5118.12	5239	0	4
2026-03-09	20:45:00	5118.12	5126.49	5115.55	5123.33	4712	0	4
2026-03-09	21:00:00	5123.33	5130.6	5118.55	5122.86	5655	0	4
2026-03-09	21:15:00	5122.86	5143.68	5118.51	5139.89	8584	0	4
2026-03-09	21:30:00	5139.89	5139.97	5125.02	5135.32	8735	0	4
2026-03-09	21:45:00	5135.26	5144.11	5129.05	5141.02	7927	0	4
2026-03-09	22:00:00	5141.02	5148.16	5137.84	5139.82	4699	0	4
2026-03-09	22:15:00	5139.83	5140.42	5134.4	5139.38	2748	0	4
2026-03-09	22:30:00	5139.38	5139.76	5134.94	5139.3	2084	0	4
2026-03-09	22:45:00	5139.27	5140.76	5133.82	5138.19	2559	0	4
2026-03-09	23:00:00	5138.19	5138.19	5138.19	5138.19	1	0	127
2026-03-10	01:00:00	5153.02	5154.63	5138.65	5146.22	4310	0	4
2026-03-10	01:15:00	5146.2	5156.09	5142.68	5144.85	3659	0	4
2026-03-10	01:30:00	5144.85	5149.65	5135.81	5137.29	3390	0	4
2026-03-10	01:45:00	5137.29	5143.36	5136.99	5139.7	2784	0	4
2026-03-10	02:00:00	5139.7	5141.3	5130.97	5136.84	4321	0	4
2026-03-10	02:15:00	5136.85	5137.85	5129.05	5130.48	4230	0	4
2026-03-10	02:30:00	5130.48	5137.82	5124.82	5137.47	4295	0	4
2026-03-10	02:45:00	5137.47	5139.22	5128.12	5131.04	4588	0	4
2026-03-10	03:00:00	5131.06	5153.61	5124.65	5143.51	8593	0	4
2026-03-10	03:15:00	5143.51	5167.86	5142.12	5157.94	8494	0	4
2026-03-10	03:30:00	5157.93	5168.92	5152.86	5166.21	7820	0	4
2026-03-10	03:45:00	5166.21	5186.26	5164.32	5184.35	7041	0	4
2026-03-10	04:00:00	5184.34	5187.08	5170.55	5175.43	6839	0	4
2026-03-10	04:15:00	5175.43	5181.19	5172.58	5179.99	4552	0	4
2026-03-10	04:30:00	5179.97	5184.72	5175.84	5182.29	6465	0	4
2026-03-10	04:45:00	5182.29	5185.81	5163.88	5165.99	6345	0	4
2026-03-10	05:00:00	5165.97	5173.5	5165.2	5166.51	5232	0	4
2026-03-10	05:15:00	5166.51	5170.64	5161.78	5166.76	5109	0	4
2026-03-10	05:30:00	5166.75	5167.97	5160.08	5162.61	4297	0	4
2026-03-10	05:45:00	5162.65	5163.07	5155.84	5157.9	3664	0	4
2026-03-10	06:00:00	5157.52	5165.2	5154.37	5164.39	4185	0	4
2026-03-10	06:15:00	5164.39	5166.62	5161.43	5162.49	3028	0	4
2026-03-10	06:30:00	5162.48	5165.58	5161.45	5162.06	2776	0	4
2026-03-10	06:45:00	5162.03	5165.46	5161.58	5163.87	2172	0	4
2026-03-10	07:00:00	5163.89	5173.41	5163.84	5173.0	4102	0	4
2026-03-10	07:15:00	5173.0	5174.42	5169.07	5171.73	2695	0	4
2026-03-10	07:30:00	5171.73	5174.35	5167.39	5168.75	4421	0	4
2026-03-10	07:45:00	5168.7	5179.33	5166.92	5178.01	4287	0	4
2026-03-10	08:00:00	5178.04	5180.94	5174.13	5179.55	5008	0	4
2026-03-10	08:15:00	5179.55	5179.69	5171.85	5176.19	4131	0	4
2026-03-10	08:30:00	5176.19	5179.15	5173.6	5175.86	4367	0	4
2026-03-10	08:45:00	5175.81	5177.37	5173.35	5175.34	4468	0	4
2026-03-10	09:00:00	5175.34	5179.0	5170.81	5174.75	4726	0	4
2026-03-10	09:15:00	5174.75	5177.58	5158.58	5169.45	5257	0	4
2026-03-10	09:30:00	5169.39	5178.37	5165.56	5176.14	4275	0	4
2026-03-10	09:45:00	5176.16	5181.29	5175.04	5181.05	4632	0	4
2026-03-10	10:00:00	5181.05	5185.35	5175.0	5179.81	6396	0	4
2026-03-10	10:15:00	5179.84	5184.22	5175.48	5184.14	4209	0	4
2026-03-10	10:30:00	5184.11	5194.11	5183.04	5189.84	5534	0	4
2026-03-10	10:45:00	5189.97	5195.15	5182.85	5183.32	4657	0	4
2026-03-10	11:00:00	5183.46	5189.41	5180.66	5187.91	3809	0	4
2026-03-10	11:15:00	5187.91	5189.3	5180.8	5186.91	4272	0	4
2026-03-10	11:30:00	5186.91	5188.24	5181.92	5187.66	4212	0	4
2026-03-10	11:45:00	5187.66	5189.16	5182.58	5182.58	3670	0	4
2026-03-10	12:00:00	5182.59	5184.0	5175.87	5181.38	4681	0	4
2026-03-10	12:15:00	5181.38	5182.1	5173.03	5173.8	5223	0	4
2026-03-10	12:30:00	5173.93	5176.64	5156.55	5169.19	6618	0	4
2026-03-10	12:45:00	5169.18	5178.2	5168.94	5177.21	4865	0	4
2026-03-10	13:00:00	5177.21	5191.94	5176.59	5187.23	6564	0	4
2026-03-10	13:15:00	5187.22	5190.04	5179.82	5182.99	5310	0	4
2026-03-10	13:30:00	5183.0	5185.13	5173.8	5174.37	4666	0	4
2026-03-10	13:45:00	5174.37	5179.6	5171.81	5175.14	5030	0	4
2026-03-10	14:00:00	5175.14	5176.68	5162.44	5171.35	6769	0	4
2026-03-10	14:15:00	5171.34	5180.67	5165.71	5179.69	5483	0	4
2026-03-10	14:30:00	5179.7	5185.58	5178.46	5185.42	5187	0	4
2026-03-10	14:45:00	5185.42	5189.46	5180.45	5187.02	5347	0	4
2026-03-10	15:00:00	5187.02	5202.63	5186.01	5200.67	8350	0	4
2026-03-10	15:15:00	5200.71	5228.68	5199.08	5221.62	8913	0	4
2026-03-10	15:30:00	5221.62	5222.4	5207.3	5209.27	11014	0	4
2026-03-10	15:45:00	5209.27	5215.6	5196.21	5205.61	9886	0	4
2026-03-10	16:00:00	5205.61	5208.69	5185.41	5195.3	10053	0	4
2026-03-10	16:15:00	5195.33	5214.42	5194.37	5209.02	8579	0	4
2026-03-10	16:30:00	5209.03	5213.55	5202.79	5206.1	8632	0	4
2026-03-10	16:45:00	5206.1	5212.19	5204.72	5206.78	6650	0	4
